Country Name,Region,ThirdWorld,Broadband2004,Broadband2014,Electricity2004,Electricity2014,Mobile2004,Mobile2014,Life_expectancy2004,Life_expectancy2014,Mortality_infant_rate2004,Mortality_infant_rate2014,Physician2004,Physician2014
Armenia,Western Asia,0,0.033325335,9.369734814,1440.3233895921471,1961.6103952646663,6.775340585,118.7723634,72.513,74.273,22.3,13.5,2.4604,2.8928
Austria,Western Europe,0,10.58805704,27.38179226,7808.157792139615,8355.841951821338,97.26408257,150.345714,79.18048780487806,81.49024390243903,4.2,3.1,4.2095,5.0359
Bahrain,Middle East,0,1.80226645,21.52364201,18983.040226740864,19596.983098977376,78.29953582,174.3161125,75.167,76.624,9.4,6.6,0.9677,0.9573
Belarus,Eastern Europe,0,0.007798987,28.46079751,3174.0530923174224,3679.9788400688963,23.28555917,120.8889669,68.95609756097562,72.97073170731709,7.1,3.2,3.302,5.012
Belgium,Western Europe,0,15.45730835,35.74653262,8576.223496534016,7709.123077882466,87.13361692,113.4877626,78.8780487804878,81.28780487804877,4.1,3.3,2.8522,2.9723
Bosnia and Herzegovina,Eastern Europe,0,0.176319286,15.57692832,2321.8782028768974,3446.7646878067467,37.39023547,100.260848,75.068,76.723,7.9,5.5,1.509,2.1326
Brunei Darussalam,Southeast Asia,0,1.742188391,7.384404384,8596.84949114441,10290.938020098687,56.32593557,110.3192286,73.801,75.193,7.7,8.6,1.2883,1.5105
Bulgaria,Eastern Europe,0,0.085878838,20.43832945,3971.822736190627,4708.92745757231,61.07108769,130.9327974,72.56341463414634,74.46585365853659,11.8,7.2,3.5387,3.975
Canada,North America,0,17.0231523,35.23968495,17264.73674381443,15588.487146431451,47.20970229,80.72209502,79.89268292682928,81.80000000000001,5.2,4.7,1.8971,2.4961
Chile,South America,0,2.990220838,14.01949855,3064.4449456421153,3879.673420230645,57.82954587,133.3451921,77.391,79.504,7.9,6.9,0.9842,2.0278
Cote d'Ivoire,Africa,0,0.004596423,0.56013233,173.3953542621229,274.73022392765137,9.31711727,97.60192256,49.788,55.508,87.5,67.0,0.1158,0.2314
Croatia,Eastern Europe,0,0.597643823,23.13434905,3429.3546438693493,3714.3829884420707,64.68011685,104.8370208,75.52024390243902,77.47804878048781,6.1,4.2,2.5304,3.1258
Cyprus,Middle East,0,2.328785812,28.76162928,3946.9126394236005,3624.933502386971,89.8,131.1454545,78.506,80.178,4.4,2.3,1.9121,2.4993
Czech Republic,Western Europe,0,2.304774705,28.27672043,6230.398227888495,6258.891037036594,105.304275,131.365859,75.7219512195122,78.82439024390244,3.7,2.5,3.5067,3.9345
Denmark,Northern Europe,0,18.83470322,41.34318445,6615.569958717911,5858.801536287482,95.63465791,126.4121686,77.49268292682927,80.7,4.3,3.5,3.2276,3.8632
Estonia,Northern Europe,0,10.17017891,28.18624043,5429.525521999192,6732.367473156111,92.09175947,144.1604617,71.90975609756097,77.03414634146343,6.1,2.6,3.1791,3.3564
Finland,Northern Europe,0,15.26085571,32.19863878,16777.565849019506,15249.989380230236,95.15143538,139.205784,78.71463414634148,81.18048780487807,3.2,2.1,2.9509,3.3922
France,Western Europe,0,10.80931341,40.45422009,7661.490447134268,6939.943524909275,73.386296,101.9183391,80.16341463414635,82.71951219512195,3.9,3.5,3.4395,3.2115
Georgia,Western Asia,0,0.04496173,14.88921176,1814.459659718792,2693.9727602251323,19.893081,133.8376646,70.451,72.707,23.2,9.7,3.8009,4.7754
Germany,Western Europe,0,8.573548443,36.30777257,7108.962524476994,7035.48297471676,87.35466029,122.1971002,78.68048780487807,81.09024390243904,4.0,3.3,3.4104,4.0846
Greece,Eastern Europe,0,0.457988755,29.49197754,5200.024353862721,5062.606421552323,82.99369506,113.4854734,79.0390243902439,81.38536585365853,4.3,3.8,4.8013,5.2167
Hungary,Eastern Europe,0,4.064578703,26.31860651,3680.168466944081,3965.95823348335,86.28409963,119.5971623,72.64878048780488,75.76341463414634,6.7,4.5,3.3345,3.3443
Iceland,Northern Europe,0,19.15604045,36.41180302,28215.452248402802,53832.479091958725,99.64411344,112.6152638,80.99756097560977,82.86097560975611,2.6,1.8,3.6276,3.6306
India,South Asia,0,0.020803392,1.215652255,451.61154610787804,804.5163492833002,4.622779363,72.86262075,64.095,68.286,57.8,36.9,0.5717,0.7247
Ireland,Northern Europe,0,3.748031729,27.20554227,6168.3989875836005,5672.064134107958,95.117702,106.176478,78.53902439024391,81.34878048780487,4.7,3.3,2.7454,3.0292
Israel,Middle East,0,15.32084507,27.13193543,6525.921574386841,6600.898280122205,112.9045446,120.9541936,80.14634146341464,82.15365853658537,4.7,3.2,3.8126,3.4669
Italy,Western Europe,0,8.152939586,23.80827259,5687.997573455725,5002.406679877359,108.2859475,148.8415405,80.78048780487806,83.09024390243904,3.9,3.0,3.6809,3.9048
Japan,East Asia,0,15.25468492,29.48375616,8393.25772340542,7819.714635909362,71.35023936,123.1631952,82.03024390243904,83.5878048780488,2.8,2.1,2.1089,2.3413
